datetime,assim_c,ddage,mgl,mo,RM,tempRM,RMpr,fgl,fr,fo,fggl,fgr,fgo,GT,available,gr_gl,gr_r,gr_o,gr_dl,wgl,wr,wo,maint,rootd
2017-11-30 08:00:00,1.2655027697940766,0.0,11.609759352346467,0.0,11.609759352346467,0.9280687983922402,0.9280687983922402,0.9225759744918238,0.0774240255081762,0.0,1.3497286506815382,0.11180029283380644,0.0,1.4615289435153447,0.19393699812457163,0.17892161503479567,0.015015383089775954,0.0,0.0,387.17090002658375,32.92806625474932,0.0,1.071565771669505,0.8564999999999611
2017-11-30 09:00:00,1.2655027697940766,0.0,11.615127000797512,0.0,11.615127000797512,0.928497881105927,0.928497881105927,0.9225765209118418,0.07742347908815819,0.0,1.3497294500940247,0.11179950380330042,0.0,1.461528953897325,0.19369038549881018,0.17869420198756575,0.014996183511244428,0.0,0.0,387.34959422857133,32.94306243826056,0.0,1.0718123842952665,0.856999999999961
2017-11-30 10:00:00,1.2655027697940766,0.0,11.62048782685714,0.0,11.62048782685714,0.9289264184466722,0.9289264184466722,0.9225770673530841,0.077422932646916,0.0,1.349730249537562,0.11179871474214671,0.0,1.4615289642797087,0.193444086324458,0.1784670778580153,0.014977008466442718,0.0,0.0,387.5280613064293,32.95803944672701,0.0,1.0720586834696186,0.857499999999961
2017-11-30 11:00:00,1.2655027697940766,0.0,11.62584183919288,0.0,11.62584183919288,0.9293544111073473,0.9293544111073473,0.9225776138155504,0.07742238618444966,0.0,1.3497310490121504,0.1117979256503453,0.0,1.4615289746624955,0.19319810020328734,0.17824024227924642,0.014957857924040915,0.0,0.0,387.70630154870855,32.972997304651045,0.0,1.0723046695907892,0.8579999999999609
2017-11-30 12:00:00,1.2655027697940766,0.0,11.631189046461255,0.0,11.631189046461255,0.929781859779943,0.929781859779943,0.9225781602992409,0.07742183970075915,0.0,1.3497318485177896,0.1117971365278962,0.0,1.4615289850456858,0.1929524267375765,0.1780136948848274,0.014938731852749123,0.0,0.0,387.8843152435934,32.9879360365038,0.0,1.0725503430565002,0.8584999999999608
2017-11-30 13:00:00,1.2655027697940766,0.0,11.636529457307802,0.0,11.636529457307802,0.9302087651555719,0.9302087651555719,0.9225787068041555,0.07742129319584448,0.0,1.3497326480544796,0.11179634737479943,0.0,1.461528995429279,0.19270706553010866,0.17778743530879132,0.014919630221317358,0.0,0.0,388.0621026789022,33.00285566672511,0.0,1.072795704263968,0.8589999999999608
2017-11-30 14:00:00,1.2655027697940766,0.0,11.641863080367065,0.0,11.641863080367065,0.9306351279244682,0.9306351279244682,0.9225792533302944,0.07742074666970564,0.0,1.349733447622221,0.11179555819105494,0.0,1.461529005813276,0.19246201618417166,0.17756146318563615,0.01490055299853554,0.0,0.0,388.2396641420878,33.017756219723644,0.0,1.073040753609905,0.8594999999999607
2017-11-30 15:00:00,1.2655027697940766,0.0,11.647189924262634,0.0,11.647189924262634,0.9310609487759904,0.9310609487759904,0.9225797998776574,0.07742020012234263,0.0,1.3497342472210128,0.11179476897666275,0.0,1.4615290161976755,0.19221727830355695,0.17733577815032353,0.014881500153233407,0.0,0.0,388.41699992023814,33.032637719876874,0.0,1.0732854914905197,0.8599999999999607
2017-11-30 16:00:00,1.2655027697940766,0.0,11.652509997607144,0.0,11.652509997607144,0.931486228398621,0.931486228398621,0.9225803464462445,0.07741965355375548,0.0,1.3497350468508558,0.1117939797316229,0.0,1.4615290265824787,0.1919728514925591,0.17711037983827863,0.014862471654280476,0.0,0.0,388.5941103000764,33.04750019153116,0.0,1.0735299183015174,0.8604999999999606
2017-11-30 17:00:00,1.9749099836634918,0.0,11.657823309002293,0.0,11.657823309002293,0.9319109674799685,0.9319109674799685,0.922580893036056,0.07741910696394415,0.0,1.34973584651175,0.11179319045593535,0.0,1.4615290369676852,0.5994538263925925,0.5530446464871588,0.04640917990543372,0.0,0.0,389.14715494656355,33.09390937143659,0.0,1.3754561572708992,0.8609999999999606
