leafnumber,leafnumber_range1,leafnumber_range2,eachLenDist_a,eachLenDist_b,eachLen,eachLeafArea,LeafArea,LAI_expect,LAI,leaf_length,leaf_area
,,,,,,,,,,2,3.4
,,,,,,,,,,3.8,11.78
,,,,,,,,,,5.8,31.9
,,,,,,,,,,9.3,92.07
,,,,,,,,,,1.9,2.85
,,,,,,,,,,4.9,25.48
,,,,,,,,,,7.7,59.29
,,,,,,,,,,1.9,3.42
,,,,,,,,,,2.8,7.84
,,,,,,,,,,4.2,18.48
,,,,,,,,,,8.7,75.69
,,,,,,,,,,9.1,83.72
,,,,,,,,,,2.1,4.62
,,,,,,,,,,3.3,10.23
,,,,,,,,,,5.7,33.06
,,,,,,,,,,10,87
,,,,,,,,,,2.2,3.74
,,,,,,,,,,5,25
,,,,,,,,,,7.8,56.94
,,,,,,,,,,1.1,1.1
,,,,,,,,,,3.6,12.6
,,,,,,,,,,5.4,29.7
,,,,,,,,,,9.8,71.54
,,,,,,,,,,13,162.5
,,,,,,,,,,1.8,2.88
,,,,,,,,,,3.1,8.37
,,,,,,,,,,5.7,29.64
,,,,,,,,,,9.6,96
,,,,,,,,,,1.8,2.7
,,,,,,,,,,3.8,12.16
,,,,,,,,,,5.7,29.07
,,,,,,,,,,9.9,92.07
,,,,,,,,,,2.3,4.14
,,,,,,,,,,3.4,9.86
,,,,,,,,,,7,44.8
,,,,,,,,,,9.8,101.92
,,,,,,,,,,2.3,3.91
,,,,,,,,,,3.3,10.56
,,,,,,,,,,6.4,38.4
,,,,,,,,,,10.3,77.25
,,,,,,,,,,2.3,4.83
,,,,,,,,,,3,9.3
,,,,,,,,,,5.9,33.63
,,,,,,,,,,2.2,3.52
,,,,,,,,,,3.5,10.85
,,,,,,,,,,5.4,29.7
,,,,,,,,,,2.6,5.46
,,,,,,,,,,3.6,10.08
,,,,,,,,,,6.5,37.7
,,,,,,,,,,2.6,5.2
,,,,,,,,,,3.3,11.88
,,,,,,,,,,5.8,33.06
,,,,,,,,,,2.2,3.74
,,,,,,,,,,3.3,10.89
,,,,,,,,,,5.2,23.4
,,,,,,,,,,15,135
,,,,,,,,,,21.5,215
,,,,,,,,,,20,260
,,,,,,,,,,24,312
,,,,,,,,,,28,392
,,,,,,,,,,28,406
,,,,,,,,,,14.5,72.5
,,,,,,,,,,20.5,205
,,,,,,,,,,22,253
,,,,,,,,,,29,406
,,,,,,,,,,33,594
,,,,,,,,,,35,700
,,,,,,,,,,10,60
,,,,,,,,,,13,84.5
,,,,,,,,,,14,126
,,,,,,,,,,19,152
,,,,,,,,,,26,325
,,,,,,,,,,28.5,427.5
,,,,,,,,,,35,560
,,,,,,,,,,32,528
,,,,,,,,,,13,71.5
,,,,,,,,,,20,180
,,,,,,,,,,24,252
,,,,,,,,,,32,480
,,,,,,,,,,33.5,636.5
,,,,,,,,,,37,740
,,,,,,,,,,36,738
,,,,,,,,,,38,988
,,,,,,,,,,9.5,33.25
,,,,,,,,,,11,49.5
,,,,,,,,,,14,91
,,,,,,,,,,15,120
,,,,,,,,,,20,200
,,,,,,,,,,27,351
,,,,,,,,,,30,465
,,,,,,,,,,35,630
,,,,,,,,,,34,612
,,,,,,,,,,12.5,56.25
,,,,,,,,,,17,136
,,,,,,,,,,21,210
,,,,,,,,,,26,299
,,,,,,,,,,30,405
,,,,,,,,,,27.5,412.5
,,,,,,,,,,30,480
,,,,,,,,,,37,666
,,,,,,,,,,10.5,52.5
,,,,,,,,,,13.5,87.75
,,,,,,,,,,5.2,19.76
,,,,,,,,,,8.9,70.31
,,,,,,,,,,14.5,182.7
,,,,,,,,,,4.3,11.18
,,,,,,,,,,5.2,16.12
,,,,,,,,,,5.3,16.96
,,,,,,,,,,8.5,58.65
,,,,,,,,,,9.5,85.5
,,,,,,,,,,6,26.4
,,,,,,,,,,8.5,56.95
,,,,,,,,,,9.5,74.1
,,,,,,,,,,5.1,16.32
,,,,,,,,,,6.5,28.6
,,,,,,,,,,6.7,31.49
,,,,,,,,,,10.3,88.58
,,,,,,,,,,12.5,127.5
,,,,,,,,,,6,26.4
,,,,,,,,,,7.8,53.82
,,,,,,,,,,9,69.3
,,,,,,,,,,2.7,6.21
,,,,,,,,,,7.1,42.6
,,,,,,,,,,9.7,75.66
,,,,,,,,,,10.4,87.36
,,,,,,,,,,4.8,15.36
,,,,,,,,,,5.6,24.08
,,,,,,,,,,5.8,24.94
,,,,,,,,,,10.3,81.37
